Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47nF","CAPC3216X180N",159.639000,-97.409000,-90.000000,top
"C2","1uF","CAPC3216X178N",148.794400,-90.861800,90.000000,top
"C3","0u1F","CAPC1608X95N",151.537600,-90.844600,-90.000000,top
"C4",">=10uF","CAPC6050X350N",158.649000,-90.424000,0.000000,top
"C5","1uF","CAPC3216X178N",144.933600,-90.906600,90.000000,top
"C6","22uF","CAPC6050X350N",173.482000,-106.324400,-90.000000,top
"C7","0u1F","CAPC1608X95N",149.987000,-112.226500,-90.000000,top
"IC1","MCT8316Z0TQRGFRQ1","QFN50P500X700X100-41N-D",151.384000,-99.695000,180.000000,top
"J1","Conn_01x08_Pin","PinHeader_1x08_P1.27mm_Vertical",138.785600,-95.300800,0.000000,top
"J2","Conn_01x05_Pin","PinHeader_1x05_P1.27mm_Vertical",147.066000,-111.633000,-90.000000,top
"L1","47uH","INDPM7973X540N",165.608000,-100.279200,-90.000000,top
"R1","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",153.543000,-107.696000,90.000000,top
"R2","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.511000,-112.268000,-90.000000,top
"R3","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.226000,-108.458000,90.000000,top
"R4","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",144.422500,-96.647000,0.000000,top
"R5","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.510000,-98.552000,180.000000,top
"R6","47k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.225000,-105.791000,-90.000000,top
"R7","22k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",150.622000,-105.918000,-90.000000,top
