Designator,Mid X,Mid Y,Rotation,Layer
"C1",159.639000,-97.409000, -90.000000,top
"C2",148.794400,-90.861800, 90.000000,top
"C3",151.537600,-90.844600, -90.000000,top
"C4",158.649000,-90.424000, 0.000000,top
"C5",144.933600,-90.906600, 90.000000,top
"C6",173.482000,-106.324400,-90.000000,top
"C7",149.987000,-112.226500,-90.000000,top
"IC1",151.384000,-99.695000, 180.000000,top
"J1",138.785600,-95.300800, 0.000000,top
"J2",147.066000,-111.633000,-90.000000,top
"L1",165.608000,-100.279200,-90.000000,top
"R1",153.543000,-107.696000,90.000000,top
"R2",151.511000,-112.268000,-90.000000,top
"R3",157.226000,-108.458000,90.000000,top
"R4",144.422500,-96.647000, 0.000000,top
"R5",144.510000,-98.552000, 180.000000,top
"R6",149.225000,-105.791000,-90.000000,top
"R7",150.622000,-105.918000,-90.000000,top
