Designator,Mid X,Mid Y,Rotation,Layer
C10,165.3286,-101.4561,270.0,top
C11,153.197843,-90.436594,0.0,top
C12,152.3111,-97.6461,90.0,top
C13,155.4861,-97.6461,90.0,top
C15,142.7861,-97.6461,90.0,top
C16,145.9611,-97.6461,90.0,top
C17,149.1361,-97.6461,90.0,top
C18,173.45,-100.1861,270.0,top
C19,157.7914,-80.5,0.0,top
C20,152.3111,-77.80235,0.0,top
C22,176.7,-95.5,0.0,top
C23,82.5011,-99.5036,90.0,top
C24,168.70125,-78.65,0.0,top
C25,167.74875,-87.54,0.0,top
C26,214.5011,-99.5036,90.0,top
C27,145.0086,-104.6311,270.0,top
C6,174.8536,-86.8511,270.0,top
C7,177.9,-90.9,180.0,top
C8,142.8,-83.45,180.0,top
C9,165.3286,-97.6461,270.0,top
D1,113.73485,-95.1061,90.0,top
D2,152.6286,-145.5886,180.0,top
D3,144.3736,-145.5886,0.0,top
D4,165.0111,-113.8386,0.0,top
D5,131.9911,-113.8386,0.0,top
F1,158.9786,-74.7861,270.0,top
IC1,161.8361,-99.5511,270.0,top
IC10,167.74,-83.095,270.0,top
IC3,178.9811,-86.8511,270.0,top
IC4,142.85,-80.35,90.0,top
IC6,172.47235,-94.62985,270.0,top
IC7,152.3111,-82.4061,90.0,top
IC8,149.61235,-104.3136,180.0,top
L2,173.10735,-86.8511,270.0,top
L3,130.0861,-88.7561,90.0,top
L4,176.75,-97.3,0.0,top
L5,165.05,-78.65,180.0,top
LED1,186.85,-86.475,225.0,top
LED2,184.425,-84.125,45.0,top
PAD-1A,174.825,-114.825,0.0,top
PAD-1B,180.075,-109.25,0.0,top
PAD-2A,122.65,-114.25,0.0,top
PAD-2B,116.3,-108.725,0.0,top
Q1,143.4211,-75.1036,180.0,top
Q2,158.6611,-138.9211,270.0,top
Q3,138.3411,-138.9211,90.0,top
R1,184.35,-91.15,270.0,top
R10,168.7,-92.8836,90.0,top
R11,166.5986,-92.8836,270.0,top
R12,146.9136,-83.51735,0.0,top
R13,146.9136,-85.6,180.0,top
R14,147.07235,-80.02485,90.0,top
R15,146.9,-87.67765,180.0,top
R17,182.15,-91.15,270.0,top
R18,150.7236,-75.1036,180.0,top
R19,168.5036,-101.7736,270.0,top
R2,157.8,-78.5,180.0,top
R20,168.5036,-97.6461,270.0,top
R21,145.6436,-108.4411,180.0,top
R22,151.6761,-108.4411,0.0,top
R4,171.3611,-100.1861,90.0,top
R6,157.8,-84.50485,180.0,top
R8,157.7914,-82.49515,180.0,top
R9,157.8,-86.5,0.0,top
UNK_HOLE_0,138.5011,-67.5036,0.0,top
UNK_HOLE_1,158.5011,-67.5036,0.0,top
UNK_HOLE_2,138.5011,-127.5036,0.0,top
UNK_HOLE_3,158.5011,-127.5036,0.0,top
X1,171.43250872965262,-74.23844127034741,135.0,top
