Designator,Footprint,Quantity,Value,LCSC Part #
"0R1, 0R10, 0R11, 0R12, 0R13, 0R14, 0R15, 0R16, 0R17, 0R18, 0R19, 0R2, 0R20, 0R21, 0R22, 0R23, 0R24, 0R25, 0R26, 0R27, 0R28, 0R29, 0R3, 0R30, 0R31, 0R32, 0R33, 0R34, 0R35, 0R36, 0R37, 0R38, 0R39, 0R4, 0R40, 0R41, 0R42, 0R43, 0R44, 0R45, 0R5, 0R6, 0R7, 0R8, 0R9",0603,45,0,
"1C1, 2C1, 3C1, 4C1, 5C1, C12, C13",0402,7,100nF,
"1C2, 2C2, 3C2, 4C2, 5C2",0402,5,47nF,
"1C3, 1C7, 2C3, 2C7, 3C3, 3C7, 4C3, 4C7, 5C3, 5C7",0402,10,1uF,
"1C4, 2C4, 3C4, 4C4, 5C4",0402,5,0u1F,
"1C5, 2C5, 3C5, 4C5, 5C5",2220,5,22uF,
"1C6, 2C6, 3C6, 4C6, 5C6",0402,5,22uF,
"1L1, 2L1, 3L1, 4L1, 5L1",0805,5,47uH,
"1R1, 1R2, 2R1, 2R2, 3R1, 3R2, 4R1, 4R2, 5R1, 5R2",0603,10,5k1,
"1R3, 2R3, 3R3, 4R3, 5R3",0603,5,27k,
"1R4, 2R4, 3R4, 4R4, 5R4",0603,5,20k,
"1R5, 2R5, 3R5, 4R5, 5R5",0805,5,1M,
"1R6, 2R6, 3R6, 4R6, 5R6",0402,5,47k,
"1R7, 2R7, 3R7, 4R7, 5R7",0402,5,22k,
"1U1, 2U1, 3U1, 4U1, 5U1",RGF0040E-IPC_B,5,MCT8316Z0TRGFR,
BAT1,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,XT60,
Bat2,JST_B7B-XH-A,1,Conn_01x07,
"C1, C2, C5",CP_Elec_8x10,3,100uF,
C3,CP_Elec_8x10.5,1,1000uF,
"C4, C6",CP_Elec_10x10.5,2,1000uF,
J_RF1,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Counter_Clockwise,
"L1, L4",L_Sunlord_MWSA1206S-101,2,100uH,
L2,L_TaiTech_TMPC1265_13.5x12.5mm,1,150uH,
"M1, M2, M3, M4, M5",PinHeader_1x08_P2.54mm_Vertical,5,Conn_01x08_Socket,
Q1,SOT-23,1,BSS84,
"R1, R11, R13, R5, R7, R9",0402,6,3k,
"R10, R12, R14, R4, R6, R8",0402,6,11k,
R15,0603,1,1M,
R16,0603,1,100k,
"R2, R3",0603,2,1k,
"RK1, RK2, RK3, RK4, RK5, RK6, RK7, RK8",0402,8,100,
"RK10, RK9",0402,2,10k,
U1,TO-263-5_TabPin3,1,LM2576S-5,
U2,TO-263-5_TabPin3,1,LM2576S-12,
U3,TO-263-5_TabPin3,1,LM2576S-3.3,
U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSLTR,
