Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100nF,
C3,1206,1,8.2p,
C4,1206,1,10uF,
J2,PinHeader_2x01_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J7, J8",PinHeader_2x07_P2.54mm_Vertical,2,Conn_02x16_Odd_Even,
J9,PinHeader_2x15_P2.54mm_Vertical,1,Conn_02x30_Odd_Even,
J_RF1,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Counter_Clockwise,
L1,0603,1,RED LED,
"L2, L4",0603,2,BLUE LED,
L3,0603,1,WHITE LED,
"R1, R2",0603,2,1k,
R3,0603,1,62,
"R4, R6",0603,2,16.2,
R5,0603,1,15.4,
U1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSLTR,
